Compound_ID,Name,Other_name(Kegg_name),Formula,Molecular Weight,RT [min],Kegg_ID,KEGG_pathway,HMDB_ID,Lipidmaps_ID,SuperClass(HMDB),Class(HMDB),SubClass(HMDB),CATEGORY(Lipidmaps),MAIN_CLASS(Lipidmaps),SUB_CLASS(Lipidmaps),m/z
Com_4121_pos,17¦Á-Hydroxyprogesterone,"17alpha-Hydroxyprogesterone; 17alpha-Hydroxy-4-pregnene-3,20-dione; Pregn-4-ene-3,20-dione-17-ol; 17alpha-Hydroxy-progesterone",C21 H30 O3,330.21977,6.453,C01176,map01100  Metabolic pathways,--,--,--,--,--,--,--,--,331.22696
Com_4122_pos,"5-methyl-2-(2-thienyl)-1,3-benzoxazole",--,C12 H9 N O S,215.04094,1.416,--,--,--,--,--,--,--,--,--,--,216.04822
Com_4143_pos,L-Palmitoylcarnitine,L-Palmitoylcarnitine,C23 H45 N O4,399.33568,5.855,C02990,map00071  Fatty acid degradation;map01212  Fatty acid metabolism,HMDB0000222,LMFA07070079,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty Acyls [FA],Fatty esters [FA07],Fatty acyl carnitines [FA0707],400.34296
Com_4172_pos,Oxaceprol,--,C7 H11 N O4,173.06898,1.641,--,--,HMDB0000725,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,174.07632
Com_4197_pos,"2-Benzyl-5-[(3S)-1-isopropyl-3-pyrrolidinyl]-1,3,4-oxadiazole",--,C16 H21 N3 O,271.16406,1.527,--,--,--,--,--,--,--,--,--,--,272.17148
Com_4230_pos,4-(methylthio)-6-phenyl-2-(3-pyridyl)pyrimidine-5-carbonitrile,--,C17 H12 N4 S,304.077,1.456,--,--,--,--,--,--,--,--,--,--,305.08398
Com_4264_pos,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",--,C18 H32 O5,345.25173,6.223,--,--,--,--,--,--,--,--,--,--,346.25891
Com_4268_pos,allantoate,Allantoate; Allantoic acid,C4 H8 N4 O4,176.05369,1.087,C00499,map00230  Purine metabolism;map01100  Metabolic pathways,HMDB0001209,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,177.06061
Com_4276_pos,Retrorsine,Retrorsine,C18 H25 N O6,351.16814,5.043,C10364,--,--,--,--,--,--,--,--,--,352.17535
Com_4320_pos,Dihydrokawain,--,C14 H16 O3,232.11018,6.506,--,--,HMDB0029504,--,Phenylpropanoids and polyketides,Kavalactones,,--,--,--,233.11758
Com_4354_pos,2-ethyl-2-(3-methoxyphenyl)cyclohexanone oxime,--,C15 H21 N O2,247.15744,6.236,--,--,--,--,--,--,--,--,--,--,248.16481
Com_4356_pos,"1,2-dihydroxyheptadec-16-yn-4-yl acetate",--,C19 H34 O4,364.20197,8.192,--,--,--,LMFA05000645,--,--,--,Fatty Acyls [FA],Fatty alcohols [FA05],_,365.20941
Com_4366_pos,Skatole,Skatole; 3-Methylindole,C9 H9 N,131.07396,5.184,C08313,--,HMDB0000466,--,Organoheterocyclic compounds,Indoles and derivatives,Indoles,--,--,--,132.08124
Com_4390_pos,Soyasaponin I,Soyasaponin I,C48 H78 O18,982.51635,6.701,C08983,--,HMDB0034649,--,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,--,--,--,983.52368
Com_4400_pos,Glycoursodeoxycholic acid,--,C26 H43 N O5,449.31498,5.82,--,--,HMDB0000708,LMST05030016,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Sterols [ST],Steroid conjugates [ST05],Glycine conjugates [ST0503],450.32184
Com_4505_pos,"3-(3,4-dimethylphenyl)-3,4-dihydro-1,2,3-benzotriazin-4-one",--,C15 H13 N3 O,273.08466,1.902,--,--,--,--,--,--,--,--,--,--,274.09192
Com_4606_pos,Beta-Muricholic acid,--,C24 H40 O5,408.28592,6.615,--,--,HMDB0000865,LMST04010067,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Sterols [ST],Bile acids and derivatives [ST04],"C24 bile acids, alcohols, and derivatives [ST0401]",409.29288
Com_4637_pos,¦Á-Linolenoyl ethanolamide,--,C20 H35 N O2,321.26708,7.337,--,--,--,--,--,--,--,--,--,--,322.27426
Com_4682_pos,Celastrol,--,C29 H38 O4,450.27544,6.626,--,--,HMDB0002385,--,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,--,--,--,451.2825
Com_4701_pos,Jasmone,Jasmone; cis-Jasmone,C11 H16 O,164.12064,6.1,C08490,--,HMDB0035601,--,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,--,--,--,165.12801
Com_4794_pos,ethyl 5-methoxy-2-methyl-1-phenyl-1H-indole-3-carboxylate,--,C19 H19 N O3,309.14035,5.79,--,--,--,--,--,--,--,--,--,--,310.14764
Com_4796_pos,"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one",--,C19 H20 O2,302.12711,6.085,--,--,--,--,--,--,--,--,--,--,303.13464
Com_4800_pos,LQH,--,C17 H28 N6 O5,418.19918,6.053,--,--,--,--,--,--,--,--,--,--,419.20685
Com_4846_pos,Testosterone undecanoate,--,C30 H48 O3,456.36123,6.799,--,--,--,--,--,--,--,--,--,--,457.36844
Com_4852_pos,L-Cystathionine,L-Cystathionine,C7 H14 N2 O4 S,222.06682,5.572,C02291,"map00260  Glycine, serine and threonine metabolism;map00270  Cysteine and methionine metabolism;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01230  Biosynthesis of amino acids",HMDB0000099,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,223.0741
Com_4869_pos,"2-(acetyloxy)-3-amino-1-[1,2-di(acetyloxy)ethyl]-3-oxopropyl acetate",--,C13 H19 N O9,315.09325,3.422,--,--,--,--,--,--,--,--,--,--,316.10059
Com_4888_pos,NVP-231,--,C25 H25 N3 O2 S,862.34703,6.466,--,--,--,--,--,--,--,--,--,--,863.35431
Com_4907_pos,SPK,--,C14 H26 N4 O5,330.19041,5.012,--,--,--,--,--,--,--,--,--,--,331.19733
Com_4956_pos,O-Aceyl-L-Serine,--,C5 H9 N O4,147.0537,4.945,--,--,--,--,--,--,--,--,--,--,148.0611
Com_4972_pos,"16,16-Dimethyl prostaglandin A2",--,C22 H34 O4,344.23547,7.87,--,--,--,--,--,--,--,--,--,--,345.24277
Com_4982_pos,PC (14:1e/5:0),--,C27 H54 N O7 P,535.36509,10.035,--,--,--,--,--,--,--,--,--,--,536.37219
Com_4993_pos,Tetramethylpyrazine,--,C8 H12 N2,136.10054,5.644,--,--,HMDB0036584,--,Organoheterocyclic compounds,Diazines,Pyrazines,--,--,--,137.10764
Com_4998_pos,"4-{3-[(3,4-dihydroxyphenyl)methyl]-2-methylbutyl}benzene-1,2-diol",--,C18 H22 O4,324.13218,5.383,--,--,--,--,--,--,--,--,--,--,325.13925
Com_5001_pos,1-Caffeoylquinic Acid,--,C16 H18 O9,354.09372,5.467,--,--,HMDB0030652,--,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,--,--,--,355.10135
Com_5007_pos,PE (3:0/15:0),--,C23 H46 N O8 P,495.29809,8.835,--,--,--,--,--,--,--,--,--,--,496.30493
Com_5018_pos,KMH,--,C17 H30 N6 O4 S,414.21218,5.022,--,--,--,--,--,--,--,--,--,--,415.21939
Com_5030_pos,5-Methylcytosine,5-Methylcytosine,C5 H7 N3 O,125.0593,2.309,C02376,map00240  Pyrimidine metabolism,HMDB0002894,--,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,--,--,--,126.06659
Com_5123_pos,4-Methylumbelliferone hydrate,--,C10 H8 O3,176.04768,6.291,--,--,--,--,--,--,--,--,--,--,177.05496
Com_5127_pos,ENK,--,C15 H27 N5 O7,389.18491,5.413,--,--,--,--,--,--,--,--,--,--,390.19202
Com_5133_pos,Solanidine,Solanidine,C27 H43 N O,397.33436,5.978,C06543,--,HMDB0003236,LMST01150007,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroidal alkaloids,Sterols [ST],Sterols [ST01],Solanidines and alkaloid derivatives [ST0115],398.34161
Com_5135_pos,HPK,--,C17 H28 N6 O4,380.21775,6.997,--,--,--,--,--,--,--,--,--,--,381.22495
Com_5248_pos,"2-[3-(4-pyridyl)-1H-1,2,4-triazol-5-yl]pyridine",--,C12 H9 N5,223.08443,2.127,--,--,--,--,--,--,--,--,--,--,224.09171
Com_5265_pos,APH,--,C14 H21 N5 O4,323.15646,5.718,--,--,--,--,--,--,--,--,--,--,324.16367
Com_5347_pos,4-(Diethylamino)salicylaldehyde,--,C11 H15 N O2,193.11059,5.817,--,--,--,--,--,--,--,--,--,--,194.11801
Com_5348_pos,N-[4-(diethylamino)phenyl]-N'-phenylurea,--,C17 H21 N3 O,305.14714,1.487,--,--,--,--,--,--,--,--,--,--,306.15424
Com_5417_pos,7¦Á-Hydroxytestosterone,7alpha-Hydroxytestosterone,C19 H28 O3,304.20179,6.66,C05291,--,--,--,--,--,--,--,--,--,305.20886
Com_5483_pos,Emamectin benzoate,--,C49 H75 N O13,434.2498,6.595,--,--,--,--,--,--,--,--,--,--,886.53363
Com_5524_pos,"1-(4-hydroxyphenyl)propane-1,2-diol",--,C9 H12 O3,150.06855,5.434,--,--,--,--,--,--,--,--,--,--,151.0759
Com_5529_pos,3-Methoxy prostaglandin F1¦Á,--,C21 H38 O6,408.24969,6.823,--,--,--,--,--,--,--,--,--,--,409.2572
Com_5597_pos,N-Desmethylvenlafaxine,--,C16 H25 N O2,263.18833,5.631,--,--,HMDB0013892,--,Benzenoids,Phenol ethers,Anisoles,--,--,--,264.19559
Com_5629_pos,L-Cystine,L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid,C6 H12 N2 O4 S2,240.02185,1.39,C00491,map00270  Cysteine and methionine metabolism;map02010  ABC transporters,HMDB0000192,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,241.02913
Com_5675_pos,5-Hydroxyindole,--,C8 H7 N O,133.05314,2.162,--,--,HMDB0059805,--,Organoheterocyclic compounds,Indoles and derivatives,Hydroxyindoles,--,--,--,134.06026
Com_5721_pos,MMK,--,C16 H32 N4 O4 S2,390.1709,6.846,--,--,--,--,--,--,--,--,--,--,391.17834
Com_5760_pos,Thromoboxane B1,--,C20 H36 O6,389.27824,5.681,--,--,--,--,--,--,--,--,--,--,390.2851
Com_5769_pos,Ergosterol peroxide,--,C28 H44 O3,428.32686,7.113,--,--,HMDB0037941,LMST01031175,Lipids and lipid-like molecules,Steroids and steroid derivatives,Ergostane steroids,Sterols [ST],Sterols [ST01],Ergosterols and C24-methyl derivatives [ST0103],429.33414
Com_5792_pos,Caprolactam,--,C6 H11 N O,113.08462,5.348,--,--,HMDB0062769,--,Organoheterocyclic compounds,Lactams,Caprolactams,--,--,--,114.09187
Com_5814_pos,Methyl 3-indolyacetate,--,C11 H11 N O2,189.07929,5.183,--,--,--,--,--,--,--,--,--,--,190.08664
Com_5820_pos,"ethyl 2-amino-8H-indeno[2,1-b]thiophene-3-carboxylate",--,C14 H13 N O2 S,259.06664,1.396,--,--,--,--,--,--,--,--,--,--,260.07413
Com_5836_pos,INK,--,C16 H31 N5 O5,188.11647,4.489,--,--,--,--,--,--,--,--,--,--,189.12375
Com_5855_pos,FKK,--,C21 H35 N5 O4,421.26257,6.174,--,--,--,--,--,--,--,--,--,--,422.27008
Com_5968_pos,Methyl palmitate,Methyl palmitate,C17 H34 O2,287.28264,6.221,C16995,--,HMDB0061859,--,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,--,--,--,288.2901
Com_5969_pos,20-Carboxy-Leukotriene B4,--,C20 H30 O6,366.20351,6.825,--,--,HMDB0006059,LMFA03020016,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls [FA],Eicosanoids [FA03],Leukotrienes [FA0302],349.19943
Com_5971_pos,N-Desmethyltramadol,--,C15 H23 N O2,249.17281,6.577,--,--,HMDB0061007,--,Benzenoids,Phenol ethers,Anisoles,--,--,--,250.18007
Com_5979_pos,DL-Norvaline,--,C5 H11 N O2,117.07891,4.956,--,--,HMDB0013716,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,118.08611
Com_6006_pos,"3-(4,5-diphenyl-1H-imidazol-2-yl)pyridine",--,C20 H15 N3,140.04752,5.042,--,--,--,--,--,--,--,--,--,--,141.05469
Com_6034_pos,"4-(2,3-dihydro-1H-indol-1-yl)-1-phenyl-1H-pyrazolo[3,4-d]pyrimidine",--,C19 H15 N5,313.13172,5.65,--,--,--,--,--,--,--,--,--,--,314.1387
Com_6046_pos,"7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalen-1-ol",--,C15 H28 O2,222.19857,7.411,--,--,--,--,--,--,--,--,--,--,223.20589
Com_6075_pos,Glu-Val-Phe,--,C19 H27 N3 O6,393.19076,5.498,--,--,--,--,--,--,--,--,--,--,394.19846
Com_6078_pos,5¦Á-Dihydrotestosterone,--,C19 H30 O2,290.22494,8.165,--,--,--,--,--,--,--,--,--,--,291.23224
Com_6079_pos,Hydroxynorfentanyl,--,C14 H20 N2 O2,248.15259,5.077,--,--,--,--,--,--,--,--,--,--,249.15968
Com_6097_pos,LPE 16:1,--,C21 H42 N O7 P,451.27083,8.658,--,--,--,LMGP02050037,--,--,--,Glycerophospholipids [GP],Glycerophosphoethanolamines [GP02],Monoacylglycerophosphoethanolamines [GP0205],452.2782
Com_6116_pos,5-Phenylvaleric Acid,--,C11 H14 O2,178.09966,5.69,--,--,HMDB0002043,--,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,--,--,--,179.10667
Com_6195_pos,"5-(6-hydroxy-6-methyloctyl)-2,5-dihydrofuran-2-one",--,C13 H22 O3,208.14635,5.685,--,--,--,--,--,--,--,--,--,--,209.15363
Com_6260_pos,N-cyclooctylurea,--,C9 H18 N2 O,170.14243,5.917,--,--,--,--,--,--,--,--,--,--,171.14981
Com_6272_pos,"2,4-dihydroxyheptadec-16-en-1-yl acetate",--,C19 H36 O4,328.26208,9.144,--,--,--,LMFA05000640,--,--,--,Fatty Acyls [FA],Fatty alcohols [FA05],_,329.26898
Com_6305_pos,"3-(3,4-dihydroxyphenyl)propanoic acid",--,C9 H10 O4,164.04734,6.487,--,--,HMDB0000423,--,Phenylpropanoids and polyketides,Phenylpropanoic acids,,--,--,--,165.05504
Com_6398_pos,(5Z)-3-aminonon-5-enoic acid,--,C9 H17 N O2,171.12651,5.547,--,--,--,--,--,--,--,--,--,--,172.13379
Com_6439_pos,7-Ketodeoxycholic acid,--,C24 H38 O5,406.27241,7.07,--,--,HMDB0000391,--,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",--,--,--,407.27985
Com_6441_pos,2'-O-Methylcytidine,--,C10 H15 N3 O5,257.10142,2.763,--,--,--,--,--,--,--,--,--,--,258.10864
Com_6507_pos,Adipamide,--,C6 H12 N2 O2,144.09049,5.183,--,--,--,LMFA08010017,--,--,--,Fatty Acyls [FA],Fatty amides [FA08],Primary amides [FA0801],145.09778
Com_6512_pos,Norharman,beta-Carboline; Norharman,C11 H8 N2,168.06918,5.255,C20157,--,HMDB0012897,--,Organoheterocyclic compounds,Indoles and derivatives,Pyridoindoles,--,--,--,169.07632
Com_6640_pos,PB-22 N-(4-Hydroxypentyl)-3-carboxyindole metabolite,--,C14 H17 N O3,247.12091,6.596,--,--,--,--,--,--,--,--,--,--,248.12822
Com_6647_pos,N6-Me-dA,--,C11 H15 N5 O3,265.11773,4.904,--,--,--,--,--,--,--,--,--,--,266.12494
Com_6650_pos,Ala-Val,--,C8 H16 N2 O3,188.11627,2.739,--,--,HMDB0028700,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,189.1234
Com_6668_pos,(+/-)8(9)-EET,--,C20 H32 O3,302.22494,7.942,--,--,--,--,--,--,--,--,--,--,303.23233
Com_6680_pos,RKK,--,C18 H38 N8 O4,233.16284,5.112,--,--,--,--,--,--,--,--,--,--,234.16975
Com_6691_pos,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide",--,C14 H25 N O,223.19361,9.311,--,--,--,--,--,--,--,--,--,--,224.20113
Com_6692_pos,"1-(2'-fluoro[1,1'-biphenyl]-4-yl)propan-1-one",--,C15 H13 F O,228.09739,5.52,--,--,--,--,--,--,--,--,--,--,229.10464
Com_6736_pos,Ouabain,Ouabain; G-Strophanthin,C29 H44 O12,584.28236,6.575,C01443,--,HMDB0031448,LMST01120022,Lipids and lipid-like molecules,Steroids and steroid derivatives,Steroid lactones,Sterols [ST],Sterols [ST01],Cardanolides and derivatives [ST0112],585.28973
Com_6751_pos,Chlorogenic acid,Chlorogenate; Chlorogenic acid; Caffeoyl quinic acid; trans-5-O-Caffeoyl-D-quinate,C16 H18 O9,332.11065,4.969,C00852,"map00940  Phenylpropanoid biosynthesis;map00941  Flavonoid biosynthesis;map00945  Stilbenoid, diarylheptanoid and gingerol biosynthesis;map01110  Biosynthesis of secondary metabolites",HMDB0003164,--,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,--,--,--,333.11728
Com_6771_pos,Zeatin-7-N-glucoside,--,C16 H23 N5 O6,381.16553,4.948,--,--,--,--,--,--,--,--,--,--,382.1727
Com_6791_pos,Maltol,Maltol,C6 H6 O3,143.05599,1.225,C11918,--,HMDB0030776,--,Organoheterocyclic compounds,Pyrans,Pyranones and derivatives,--,--,--,144.06328
Com_6802_pos,Palmitoyl ethanolamide,--,C18 H37 N O2,299.28287,9.485,--,--,HMDB0002100,LMFA08040057,Organic acids and derivatives,Carboximidic acids and derivatives,Carboximidic acids,Fatty Acyls [FA],Fatty amides [FA08],N-acyl ethanolamides (endocannabinoids) [FA0804],300.29022
Com_6884_pos,Pyridoxamine,Pyridoxamine; PM,C8 H12 N2 O2,168.09019,2.004,C00534,map00750  Vitamin B6 metabolism;map01100  Metabolic pathways,HMDB0062696,--,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxamines,--,--,--,169.09746
Com_6912_pos,Linalool,"Linalool; 3,7-Dimethylocta-1,6-dien-3-ol; (RS)-Linalool",C10 H18 O,154.13603,6.456,C03985,--,HMDB0036100,--,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,--,--,--,155.14313
Com_6929_pos,Riboflavin,"Riboflavin; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine; Vitamin B2",C17 H20 N4 O6,376.13861,5.345,C00255,map00740  Riboflavin metabolism;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites,HMDB0001520,--,"Nucleosides, nucleotides, and analogues",Flavin nucleotides,,--,--,--,377.14575
Com_6955_pos,"(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid",--,C11 H20 O4,216.13627,6.386,--,--,--,--,--,--,--,--,--,--,217.14351
Com_6975_pos,3-(4-hydroxy-3-methoxyphenyl)propanoic acid,--,C10 H12 O4,178.06322,6.421,--,--,HMDB0062121,--,Phenylpropanoids and polyketides,Phenylpropanoic acids,,--,--,--,179.07053
Com_7059_pos,Glycerol 1-hexadecanoate,--,C19 H38 O4,330.27714,8.32,--,--,HMDB0011564,--,Lipids and lipid-like molecules,Glycerolipids,Monoradylglycerols,--,--,--,331.2847
Com_7124_pos,"methyl 4,5-di(4-methoxyphenyl)thiophene-2-carboxylate",--,C20 H18 O4 S,354.09258,4.97,--,--,--,--,--,--,--,--,--,--,355.10004
Com_7207_pos,ethyl 4-({[(3-morpholinopropyl)amino]carbothioyl}amino)benzoate,--,C17 H25 N3 O3 S,373.14696,4.688,--,--,--,--,--,--,--,--,--,--,374.15424
Com_7220_pos,PC(16:0/16:0),--,C40 H80 N O8 P,733.56393,9.194,--,--,HMDB0000564,LMGP01010564,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,Glycerophospholipids [GP],Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],734.57147
Com_7237_pos,Prostaglandin F2¦Á-1-glyceryl ester,--,C23 H40 O7,450.26015,6.802,--,--,--,--,--,--,--,--,--,--,451.26749
Com_7251_pos,4-morpholinobenzoic acid,--,C11 H13 N O3,207.08966,5.269,--,--,--,--,--,--,--,--,--,--,208.09697
Com_7264_pos,3-hydroxy-N-(1-hydroxy-4-methylpentan-2-yl)-5-oxo-6-phenylhexanamide,--,C18 H27 N O4,321.19385,7.278,--,--,--,--,--,--,--,--,--,--,322.20132
Com_7266_pos,Prostaglandin E2-1-glyceryl ester,--,C23 H38 O7,408.2494,7.194,--,--,--,--,--,--,--,--,--,--,409.25668
Com_7435_pos,"2,5-bis(4-hydroxy-3-methoxyphenyl)-3,4-dimethyloxolan-3-ol",--,C20 H24 O6,342.14668,6.026,--,--,--,--,--,--,--,--,--,--,343.15405
Com_7475_pos,Rosuvastatin,--,C22 H28 F N3 O6 S,503.15904,5.576,--,--,HMDB0015230,--,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,--,--,--,504.16635
Com_7493_pos,Diaminopimelic acid,--,C7 H14 N2 O4,190.09523,1.418,--,--,HMDB0001370,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,191.10239
Com_7563_pos,Gly-Val,--,C7 H14 N2 O3,174.10057,2.1,--,--,HMDB0028854,--,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",--,--,--,175.10789
Com_7630_pos,Orsellinic acid ethyl ester,--,C10 H12 O4,196.07376,5.937,--,--,--,--,--,--,--,--,--,--,197.08099
Com_7662_pos,"3-(2,6-difluorophenyl)-4-ethyl-1H-pyrazole",--,C11 H10 F2 N2,208.08248,2.071,--,--,--,--,--,--,--,--,--,--,209.08986
Com_7704_pos,"5,8-dihydroxy-10-methyl-5,8,9,10-tetrahydro-2H-oxecin-2-one",--,C10 H14 O4,180.07898,5.825,--,--,--,--,--,--,--,--,--,--,181.08586
Com_7758_pos,Indole,"Indole; 2,3-Benzopyrrole",C8 H7 N,117.05821,4.951,C00463,"map00380  Tryptophan metabolism;map00400  Phenylalanine, tyrosine and tryptophan biosynthesis;map00402  Benzoxazinoid biosynthesis;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites",HMDB0035924,--,Organoheterocyclic compounds,Heteroaromatic compounds,,--,--,--,118.06541
Com_7863_pos,N-allyl-2-(2-methyl-1-benzofuran-3-yl)acetamide,--,C14 H15 N O2,246.13702,6.055,--,--,--,--,--,--,--,--,--,--,247.14406
Com_7864_pos,Pregnenolone,Pregnenolone; 5-Pregnen-3beta-ol-20-one; 3beta-Hydroxypregn-5-en-20-one,C21 H32 O2,316.24035,6.532,C01953,map01100  Metabolic pathways,HMDB0000253,LMST02030088,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,Sterols [ST],Steroids [ST02],"C21 steroids (gluco/mineralocorticoids, progestogins) and derivatives [ST0203]",317.24771
Com_7958_pos,3-(3-pyridinyl)propanoic acid,--,C8 H9 N O2,151.06381,5.313,--,--,--,--,--,--,--,--,--,--,152.07114
Com_7959_pos,2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoic acid,--,C10 H18 O4,224.1026,6.142,--,--,--,--,--,--,--,--,--,--,225.10983
Com_7961_pos,JNJ-1661010,--,C19 H19 N5 O S,365.13112,5.628,--,--,--,--,--,--,--,--,--,--,366.1384
Com_8000_pos,4-methyl-5-phenoxy-6-piperidino-2-(trifluoromethyl)pyrimidine,--,C17 H18 F3 N3 O,337.13635,1.734,--,--,--,--,--,--,--,--,--,--,338.14346
Com_8068_pos,"(2E,4E)-N-(2-methylpropyl)dodeca-2,4-dienamide",--,C16 H29 N O,251.22485,5.674,--,--,--,--,--,--,--,--,--,--,252.23207
Com_8084_pos,"1-(3-ethyl-2,4-dihydroxy-6-methoxyphenyl)butan-1-one",--,C13 H18 O4,220.1102,6.277,--,--,--,--,--,--,--,--,--,--,221.11758
Com_8086_pos,8-Aminooctanoic acid,--,C8 H17 N O2,159.12619,2.925,--,--,--,--,--,--,--,--,--,--,160.13347
Com_8177_pos,MGMG (18:2),--,C27 H48 O9,516.33013,8.673,--,--,--,--,--,--,--,--,--,--,517.3374
Com_8222_pos,N-(4-fluorophenyl)-N'-(2-piperidinophenyl)urea,--,C18 H20 F N3 O,335.13513,5.497,--,--,--,--,--,--,--,--,--,--,336.14233
Com_8233_pos,Cathine,D-Cathine; Cathine; (+)-Norpseudoephedrine,C9 H13 N O,151.10038,5.568,C08300,map00360  Phenylalanine metabolism;map01100  Metabolic pathways,--,--,--,--,--,--,--,--,152.10777
Com_8237_pos,3-[3-(beta-D-Glucopyranosyloxy)-2-methoxyphenyl]propanoic acid,--,C16 H22 O9,380.10865,5.281,--,--,--,--,--,--,--,--,--,--,381.11612
Com_8243_pos,"N~5~-(1,3,5-trimethyl-1H-pyrazol-4-yl)-1H-1,2,4-triazole-3,5-diamine",--,C8 H13 N7,207.1242,5.631,--,--,--,--,--,--,--,--,--,--,208.13171
Com_8246_pos,Tramadol N-Oxide,--,C16 H25 N O3,279.18342,5.796,--,--,--,--,--,--,--,--,--,--,280.1908
Com_8270_pos,Oxymorphone,Oxymorphone,C17 H19 N O4,301.12722,2.126,C08019,--,HMDB0015323,--,Benzenoids,Phenanthrenes and derivatives,,--,--,--,302.13449
Com_8284_pos,"2-[1-(4-isobutylphenyl)ethyl]-5-(3-nitrophenyl)-1,3,4-oxadiazole",--,C20 H21 N3 O3,351.15834,5.424,--,--,--,--,--,--,--,--,--,--,352.16461
Com_8313_pos,2-Hydroxy-6-Aminopurine,--,C5 H5 N5 O,151.04962,5.375,--,--,HMDB0000403,--,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,--,--,--,152.05719
Com_8372_pos,4-hydroxy-3-(3-methylbut-2-en-1-yl)benzoic acid,--,C12 H14 O3,206.09401,5.595,--,--,HMDB0135898,--,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,--,--,--,245.0571
Com_8391_pos,Phenothiazine,--,C12 H9 N S,199.04601,1.601,--,--,--,--,--,--,--,--,--,--,200.05328
Com_8395_pos,Hydroquinone,Hydroquinone; p-Hydroquinone; Quinol; Reduced quinone,C6 H6 O2,110.03688,6.514,C15603,--,HMDB0002434,--,Benzenoids,Phenols,Benzenediols,--,--,--,111.04438
Com_8429_pos,3-(2-Hydroxyethyl)indole,--,C10 H11 N O,161.08454,5.731,--,--,HMDB0003447,--,Organoheterocyclic compounds,Indoles and derivatives,Indoles,--,--,--,162.09163
Com_8539_pos,9-KODE,"9-OxoODE; 9-KODE; (10E,12Z)-9-Oxooctadeca-10,12-dienoic acid",C18 H30 O3,294.21953,5.458,C14766,map00591  Linoleic acid metabolism,HMDB0004669,LMFA02000274,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Fatty Acyls [FA],Octadecanoids [FA02],Other Octadecanoids [FA0200],295.22681
Com_8550_pos,Lysopc 17:0,--,C25 H52 N O7 P,509.34916,7.848,--,--,--,--,--,--,--,--,--,--,510.35623
Com_8553_pos,"N-(2,4-Dimethylphenyl)formamide",--,C9 H11 N O,149.08464,6.315,--,--,--,--,--,--,--,--,--,--,150.09193
Com_8555_pos,N-METHYL (-)EPHEDRINE,--,C11 H17 N O,179.13104,5.29,--,--,--,--,--,--,--,--,--,--,180.13841
